"MEASURE","Measure","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","113031270","Wagga Wagga - West","A","Annual","2016","2016",12573,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","113031271","Wagga Wagga Region","A","Annual","2016","2016",15107,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","114","Southern Highlands and Shoalhaven","A","Annual","2016","2016",150676,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11401","Shoalhaven","A","Annual","2016","2016",101617,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011272","Berry - Kangaroo Valley","A","Annual","2016","2016",8927,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011273","Callala Bay - Currarong","A","Annual","2016","2016",3683,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011274","Culburra Beach","A","Annual","2016","2016",5044,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011275","Ettrema - Sassafras - Budawang","A","Annual","2016","2016",52,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011276","Huskisson - Vincentia","A","Annual","2016","2016",4290,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011277","North Nowra - Bomaderry","A","Annual","2016","2016",16162,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011278","Nowra","A","Annual","2016","2016",20547,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011279","St Georges Basin - Erowal Bay","A","Annual","2016","2016",14219,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011280","Sussex Inlet - Berrara","A","Annual","2016","2016",4394,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011281","Tomerong - Wandandian - Woollamia","A","Annual","2016","2016",3469,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011282","Ulladulla","A","Annual","2016","2016",15671,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114011283","Ulladulla Region","A","Annual","2016","2016",5159,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11402","Southern Highlands","A","Annual","2016","2016",49059,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114021284","Bowral","A","Annual","2016","2016",13280,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114021285","Hill Top - Colo Vale","A","Annual","2016","2016",6192,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114021286","Mittagong","A","Annual","2016","2016",9240,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114021287","Moss Vale - Berrima","A","Annual","2016","2016",10050,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114021288","Robertson - Fitzroy Falls","A","Annual","2016","2016",3582,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","114021289","Southern Highlands","A","Annual","2016","2016",6715,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","19799","Migratory - Offshore - Shipping (NSW)","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","197","Migratory - Offshore - Shipping (NSW)","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","19797","Migratory - Offshore - Shipping (NSW)","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","197979799","Migratory - Offshore - Shipping (NSW)","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","STE","States and Territories","2","Victoria","A","Annual","2016","2016",6179249,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","2GMEL","Greater Melbourne","A","Annual","2016","2016",4725316,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","206","Melbourne - Inner","A","Annual","2016","2016",635933,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20601","Brunswick - Coburg","A","Annual","2016","2016",91653,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206011105","Brunswick","A","Annual","2016","2016",27123,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206011106","Brunswick East","A","Annual","2016","2016",11766,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206011107","Brunswick West","A","Annual","2016","2016",14629,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206011108","Coburg","A","Annual","2016","2016",27733,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206011109","Pascoe Vale South","A","Annual","2016","2016",10402,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20602","Darebin - South","A","Annual","2016","2016",55271,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206021110","Alphington - Fairfield","A","Annual","2016","2016",9415,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206021111","Northcote","A","Annual","2016","2016",26334,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206021112","Thornbury","A","Annual","2016","2016",19522,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20603","Essendon","A","Annual","2016","2016",70367,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206031113","Ascot Vale","A","Annual","2016","2016",15667,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206031114","Essendon - Aberfeldie","A","Annual","2016","2016",28954,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206031115","Flemington","A","Annual","2016","2016",10662,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206031116","Moonee Ponds","A","Annual","2016","2016",15084,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20604","Melbourne City","A","Annual","2016","2016",148041,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206041117","Carlton","A","Annual","2016","2016",20575,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206041118","Docklands","A","Annual","2016","2016",11944,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206041119","East Melbourne","A","Annual","2016","2016",5356,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206041120","Flemington Racecourse","A","Annual","2016","2016",103,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206041121","Kensington (Vic.)","A","Annual","2016","2016",11526,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206041122","Melbourne","A","Annual","2016","2016",41473,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206041123","North Melbourne","A","Annual","2016","2016",22086,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206041124","Parkville","A","Annual","2016","2016",7898,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206041125","South Yarra - West","A","Annual","2016","2016",6607,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206041126","Southbank","A","Annual","2016","2016",20470,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206041127","West Melbourne","A","Annual","2016","2016",3,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20605","Port Phillip","A","Annual","2016","2016",108569,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206051128","Albert Park","A","Annual","2016","2016",16540,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206051129","Elwood","A","Annual","2016","2016",16509,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206051130","Port Melbourne","A","Annual","2016","2016",17370,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206051131","Port Melbourne Industrial","A","Annual","2016","2016",27,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206051132","South Melbourne","A","Annual","2016","2016",12357,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206051133","St Kilda","A","Annual","2016","2016",28141,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206051134","St Kilda East","A","Annual","2016","2016",17625,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20606","Stonnington - West","A","Annual","2016","2016",67798,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206061135","Armadale","A","Annual","2016","2016",9658,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206061136","Prahran - Windsor","A","Annual","2016","2016",21391,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206061137","South Yarra - East","A","Annual","2016","2016",22677,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206061138","Toorak","A","Annual","2016","2016",14072,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20607","Yarra","A","Annual","2016","2016",94234,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206071139","Abbotsford","A","Annual","2016","2016",8842,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206071140","Carlton North - Princes Hill","A","Annual","2016","2016",9020,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206071141","Collingwood","A","Annual","2016","2016",9144,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206071142","Fitzroy","A","Annual","2016","2016",11464,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206071143","Fitzroy North","A","Annual","2016","2016",13211,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206071144","Richmond (Vic.)","A","Annual","2016","2016",32848,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","206071145","Yarra - North","A","Annual","2016","2016",9705,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","207","Melbourne - Inner East","A","Annual","2016","2016",380210,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20701","Boroondara","A","Annual","2016","2016",177361,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207011146","Ashburton (Vic.)","A","Annual","2016","2016",8217,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207011147","Balwyn","A","Annual","2016","2016",16700,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207011148","Balwyn North","A","Annual","2016","2016",21340,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207011149","Camberwell","A","Annual","2016","2016",22567,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207011150","Glen Iris - East","A","Annual","2016","2016",17190,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207011151","Hawthorn","A","Annual","2016","2016",24700,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207011152","Hawthorn East","A","Annual","2016","2016",16289,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207011153","Kew","A","Annual","2016","2016",26314,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207011154","Kew East","A","Annual","2016","2016",6825,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207011155","Surrey Hills (West) - Canterbury","A","Annual","2016","2016",17219,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20702","Manningham - West","A","Annual","2016","2016",95593,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207021156","Bulleen","A","Annual","2016","2016",11648,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207021157","Doncaster","A","Annual","2016","2016",21864,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207021159","Templestowe","A","Annual","2016","2016",17620,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207021160","Templestowe Lower","A","Annual","2016","2016",14375,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207021424","Doncaster East (North)","A","Annual","2016","2016",15361,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207021425","Doncaster East (South)","A","Annual","2016","2016",14725,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20703","Whitehorse - West","A","Annual","2016","2016",107256,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207031161","Blackburn","A","Annual","2016","2016",22480,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207031162","Blackburn South","A","Annual","2016","2016",11274,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207031163","Box Hill","A","Annual","2016","2016",20973,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207031164","Box Hill North","A","Annual","2016","2016",18359,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207031165","Burwood","A","Annual","2016","2016",12937,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207031166","Burwood East","A","Annual","2016","2016",10807,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","207031167","Surrey Hills (East) - Mont Albert","A","Annual","2016","2016",10426,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","208","Melbourne - Inner South","A","Annual","2016","2016",426081,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20801","Bayside","A","Annual","2016","2016",102737,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208011168","Beaumaris","A","Annual","2016","2016",14172,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208011169","Brighton (Vic.)","A","Annual","2016","2016",24297,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208011170","Brighton East","A","Annual","2016","2016",16701,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208011171","Cheltenham - Highett (West)","A","Annual","2016","2016",11439,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208011172","Hampton","A","Annual","2016","2016",18732,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208011173","Sandringham - Black Rock","A","Annual","2016","2016",17396,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20802","Glen Eira","A","Annual","2016","2016",157014,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208021174","Bentleigh - McKinnon","A","Annual","2016","2016",23869,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208021176","Carnegie","A","Annual","2016","2016",19104,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208021177","Caulfield - North","A","Annual","2016","2016",22207,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208021178","Caulfield - South","A","Annual","2016","2016",18456,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208021179","Elsternwick","A","Annual","2016","2016",12061,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208021180","Hughesdale","A","Annual","2016","2016",8002,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208021181","Murrumbeena","A","Annual","2016","2016",9771,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208021182","Ormond - Glen Huntly","A","Annual","2016","2016",14089,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208021426","Bentleigh East (North)","A","Annual","2016","2016",15548,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208021427","Bentleigh East (South)","A","Annual","2016","2016",13907,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20803","Kingston","A","Annual","2016","2016",122522,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208031183","Aspendale Gardens - Waterways","A","Annual","2016","2016",9487,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208031184","Braeside","A","Annual","2016","2016",86,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208031185","Carrum - Patterson Lakes","A","Annual","2016","2016",12144,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208031186","Chelsea - Bonbeach","A","Annual","2016","2016",14810,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208031187","Chelsea Heights","A","Annual","2016","2016",5517,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208031188","Cheltenham - Highett (East)","A","Annual","2016","2016",23352,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208031189","Edithvale - Aspendale","A","Annual","2016","2016",13307,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208031190","Mentone","A","Annual","2016","2016",13709,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208031191","Moorabbin - Heatherton","A","Annual","2016","2016",9237,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208031192","Moorabbin Airport","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208031193","Mordialloc - Parkdale","A","Annual","2016","2016",20873,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20804","Stonnington - East","A","Annual","2016","2016",43808,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208041194","Malvern - Glen Iris","A","Annual","2016","2016",21265,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","208041195","Malvern East","A","Annual","2016","2016",22543,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","209","Melbourne - North East","A","Annual","2016","2016",520295,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20901","Banyule","A","Annual","2016","2016",127693,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209011196","Bundoora - East","A","Annual","2016","2016",10355,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209011197","Greensborough","A","Annual","2016","2016",21392,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209011198","Heidelberg - Rosanna","A","Annual","2016","2016",15578,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209011199","Heidelberg West","A","Annual","2016","2016",14840,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209011200","Ivanhoe","A","Annual","2016","2016",12040,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209011201","Ivanhoe East - Eaglemont","A","Annual","2016","2016",8116,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209011202","Montmorency - Briar Hill","A","Annual","2016","2016",16765,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209011203","Viewbank - Yallambie","A","Annual","2016","2016",19090,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209011204","Watsonia","A","Annual","2016","2016",9517,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20902","Darebin - North","A","Annual","2016","2016",99751,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209021205","Kingsbury","A","Annual","2016","2016",11938,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209021207","Reservoir - East","A","Annual","2016","2016",28460,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209021208","Reservoir - West","A","Annual","2016","2016",25295,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209021428","Preston - East","A","Annual","2016","2016",21188,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209021429","Preston - West","A","Annual","2016","2016",12870,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20903","Nillumbik - Kinglake","A","Annual","2016","2016",68270,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209031209","Eltham","A","Annual","2016","2016",23951,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209031210","Hurstbridge","A","Annual","2016","2016",3624,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209031211","Kinglake","A","Annual","2016","2016",3990,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209031212","Panton Hill - St Andrews","A","Annual","2016","2016",5423,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209031213","Plenty - Yarrambat","A","Annual","2016","2016",9941,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209031214","Research - North Warrandyte","A","Annual","2016","2016",7011,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209031215","Wattle Glen - Diamond Creek","A","Annual","2016","2016",14330,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","20904","Whittlesea - Wallan","A","Annual","2016","2016",224581,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041216","Bundoora - North","A","Annual","2016","2016",7854,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041217","Bundoora - West","A","Annual","2016","2016",6604,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041219","Lalor","A","Annual","2016","2016",24114,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041220","Mill Park - North","A","Annual","2016","2016",18775,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041221","Mill Park - South","A","Annual","2016","2016",12481,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041223","Thomastown","A","Annual","2016","2016",21551,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041224","Wallan","A","Annual","2016","2016",16700,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041225","Whittlesea","A","Annual","2016","2016",8388,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041430","Doreen","A","Annual","2016","2016",21904,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041431","Epping - East","A","Annual","2016","2016",13879,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041432","Epping - South","A","Annual","2016","2016",8776,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041433","Epping - West","A","Annual","2016","2016",11557,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041434","Mernda","A","Annual","2016","2016",17268,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041435","South Morang (North)","A","Annual","2016","2016",12596,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041436","South Morang (South)","A","Annual","2016","2016",12483,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","209041437","Wollert","A","Annual","2016","2016",9651,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","210","Melbourne - North West","A","Annual","2016","2016",382072,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","21001","Keilor","A","Annual","2016","2016",61472,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210011226","Airport West","A","Annual","2016","2016",7918,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210011227","Essendon Airport","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210011228","Keilor","A","Annual","2016","2016",8887,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210011229","Keilor East","A","Annual","2016","2016",27556,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210011230","Niddrie - Essendon West","A","Annual","2016","2016",7216,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210011231","Strathmore","A","Annual","2016","2016",9895,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","21002","Macedon Ranges","A","Annual","2016","2016",30739,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210021232","Gisborne","A","Annual","2016","2016",13345,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210021233","Macedon","A","Annual","2016","2016",3541,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210021234","Riddells Creek","A","Annual","2016","2016",4185,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210021235","Romsey","A","Annual","2016","2016",9668,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","21003","Moreland - North","A","Annual","2016","2016",79587,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210031236","Coburg North","A","Annual","2016","2016",8095,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210031237","Fawkner","A","Annual","2016","2016",14558,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210031239","Pascoe Vale","A","Annual","2016","2016",24631,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210031438","Glenroy","A","Annual","2016","2016",23354,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210031439","Gowanbrae","A","Annual","2016","2016",3056,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210031440","Hadfield","A","Annual","2016","2016",5893,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","21004","Sunbury","A","Annual","2016","2016",40978,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210041240","Sunbury","A","Annual","2016","2016",13272,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210041241","Sunbury - South","A","Annual","2016","2016",27706,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","21005","Tullamarine - Broadmeadows","A","Annual","2016","2016",169296,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051242","Broadmeadows","A","Annual","2016","2016",14106,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051243","Campbellfield - Coolaroo","A","Annual","2016","2016",17011,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051245","Gladstone Park - Westmeadows","A","Annual","2016","2016",18416,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051246","Greenvale - Bulla","A","Annual","2016","2016",17297,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051247","Meadow Heights","A","Annual","2016","2016",15986,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051248","Melbourne Airport","A","Annual","2016","2016",212,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051249","Roxburgh Park - Somerton","A","Annual","2016","2016",23136,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051250","Tullamarine","A","Annual","2016","2016",6783,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051441","Craigieburn - Central","A","Annual","2016","2016",8758,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051442","Craigieburn - North","A","Annual","2016","2016",12081,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051443","Craigieburn - South","A","Annual","2016","2016",17051,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051444","Craigieburn - West","A","Annual","2016","2016",14905,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","210051445","Mickleham - Yuroke","A","Annual","2016","2016",3554,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","211","Melbourne - Outer East","A","Annual","2016","2016",520754,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","21101","Knox","A","Annual","2016","2016",160712,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011251","Bayswater","A","Annual","2016","2016",12609,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011254","Knoxfield - Scoresby","A","Annual","2016","2016",15742,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011255","Lysterfield","A","Annual","2016","2016",6905,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011256","Rowville - Central","A","Annual","2016","2016",15969,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011257","Rowville - North","A","Annual","2016","2016",8357,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011258","Rowville - South","A","Annual","2016","2016",11073,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011259","Wantirna","A","Annual","2016","2016",14546,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011260","Wantirna South","A","Annual","2016","2016",18610,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011446","Boronia","A","Annual","2016","2016",22936,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011447","Ferntree Gully (North)","A","Annual","2016","2016",14382,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011448","Ferntree Gully (South) - Upper Ferntree Gully","A","Annual","2016","2016",15149,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","211011449","The Basin","A","Annual","2016","2016",4434,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","21102","Manningham - East","A","Annual","2016","2016",27426,,
